"FR","Gender","Departmnet","Record_id","State","S_D_E","RO_F_EG","Deadline_today","Workload_today","Workplace","RS","TW_W_H","TW_Research","Break","Email","funding_proposal","NP","FA","Success","Com_Proposal","L_Of_SR","W_WB_PD","T","DS","refereed_conference","A_N_Conf_Pap","core_rank","if_you_submit_manuscripts","far_in_advance_do_you","length_of_supp","in_the_week_leading_to_a_c","you_typically_subm","ss_level_in_a_fundi","Comments"
"Professor","Male","Engineering",474,"East","Three months","Fully funded","Yes","Heavy","Home","RS2","> 50",40,"Every 3-4 hours","Reply Once/Twice","Yes","NP2","DOD","20-30%","> 2 months","3-6 months","More","T2","Less","Yes","1-2","A","50-75%","> 2 months","3-6 months","More","2 or more days before","About the same","Proposal to DoD (including STTRs to the services) are interactive and solicited and are quite different than NSF/NIH/DoE"
"Assistant Professor","Male","Biology",476,"South","Three months","Fully funded","No","Standard","Office","RS2","> 50",60,"Every 3-4 hours","Reply instantly","Yes","NP2","NSF","10-20%","> 2 months","> 12 months","More","T2","About the same","No","","","","","","",NA,NA,""
"Professor","Male","Physics",477,"South","Other","50-75%","Yes","Standard","Home","RS2","40-50",30,"Every 3-4 hours","Reply instantly","Yes","NP2","NASA","50-75%","1-2 months","< 1 month","About the same","T2","About the same","No","","","","","","",NA,NA,""
"Professor","Male","Geosciences",478,"West","Three months","1-25%","No","Light","Home","RS2","40-50",20,"Every 3-4 hours","Reply Once/Twice","Yes","NP1","Other","30-50%","> 2 months","1-3 months","About the same","T2","Less","No","","","","","","",NA,NA,"I have been doing proposals for 34 years and learned to start early, finish early, and not get consumed by it all."
"Assistant Professor","Female","Engineering",479,"Midwest","Three months","25-50%","No","Light","Office","RS1","40-50",20,"Every 3-4 hours","Reply Once/Twice","Yes","NP2","NSF","< 10%","> 2 months","6-12 months","More","T1","More","No","","","","","","",NA,NA,"Most professors I know, myself included, tend to procrastinate a bit on the writing until a deadline is approaching. The level of productivity and stress both rise significantly during the week or two leading up to a deadline. Personally, I submit to directorates within NSF that have a deadline and that have open submission windows. I submitted to both recently within a couple weeks of each other and the process of submitting without the deadline was significantly less stressful. However, if submitting as a sole PI, I'm not sure that without having a deadline I would have been disciplined enough to submit. It really helps to have multiple PIs on a proposal to motivate submission for an open window."
"Assistant Professor","Male","Engineering",482,"West","Three months","75-100%","No","Standard","Home","RS2","> 50",40,"Every 3-4 hours","Reply instantly","Yes","NP3","NIH","< 10%","> 2 months","3-6 months","Significantly more","T2","About the same","No","","","","","","",NA,NA,"It's not the deadlines, it's the binary nature of grant funding. If 20 awards get funded, and you are ranked 21, you may as well as been ranked 1000. Large agencies (NIH, NSF) should create sliding scale mechanisms: We won't give you 1 million, but here is 50k/100k to continue developing the prelim data. This becomes important for providing certainty/flexibility for graduate students and postdocs, and allows more efficient use of research funds and directions."
"Assistant Professor","Female","Computer Science",483,"West","Three months","25-50%","No","Standard","Office","RS2","40-50",50,"Every hour","Reply Once/Twice","Yes","NP2","NSF","20-30%","1-2 months","3-6 months","More","T2","About the same","No","","","","","","",NA,NA,""
"Professor","Male","Computer Science",484,"West","Three months","Not funded","No","Standard","Home","RS1","> 50",30,"Every 3-4 hours","Reply Once/Twice","Yes","NP1","NSF","30-50%","1-2 months","< 1 month","About the same","T2","About the same","Yes","1-2","B","75-90%","2-4 weeks","1-3 months","About the same","1 day before","About the same","I try to avoid last minute work as too stressful. I'm usually collaborating with others, and sometimes the stress falls on them."
"Professor","Male","Computer Science",486,"West","Other","Fully funded","No","Standard","Home","RS1","40-50",60,"Every hour","Reply instantly","Yes","NP1","DOE","75-90%","1-2 months","< 1 month","More","T1","About the same","Yes","1-2","A","> 90%","1-2 months","1-3 months","More","Minutes before","About the same","The 5yr + 5yr funding significantly lowers the amount of time and stress associated with obtaining external monies. Also being older and having administered many grants significantly reduces stress."
"Professor","Male","Computer Science",488,"West","Three months","1-25%","No","Light","Home","RS1","> 50",40,"Every 3-4 hours","Reply instantly","Yes","NP3","NSF","< 10%","> 2 months","3-6 months","Significantly more","T1","About the same","Yes","7-9","B","30-50%","> 2 months","3-6 months","More","3-6 hours before","About the same","Perhaps ask about proposal team composition, e.g.  What is your ideal number of co-PIs in a proposal team? On average how many GRA positions you include in a proposal? Do you budget for technicians? So far the survey didn't ask about close proposal or research collaborators.  "
"Associate Professor","Female","Chemistry",490,"Midwest","Three months","Fully funded","Yes","Heavy","Office","RS1","> 50",20,"Every 3-4 hours","Reply instantly","Yes","NP3","NIH","20-30%","> 2 months","3-6 months","Significantly more","T2","About the same","No","","","","","","",NA,NA,"Deadlines are needed... it's a question of organization.  Without Deadlines, which are goalposts, fewer proposals would be submitted. "
"Associate Professor","Male","Physics",492,"West","Three months","Fully funded","No","Standard","Home","RS2","> 50",50,"Every 3-4 hours","Reply Once/Twice","Yes","NP2","NSF","< 10%","1-2 months","> 12 months","Significantly more","T1","Significantly more","No","","","","","","",NA,NA,"Give awards based on performance over the last 5 years. Do away with the proposals except for career awards."
"Assistant Professor","Male","Computer Science",493,"West","Three months","Not funded","No","Standard","Home","RS1","30-40",40,"Every 1-2 hours","Reply instantly","Yes","NP2","NSF","< 10%","2-4 weeks","6-12 months","More","T1","About the same","Yes","1-2","A","< 10%","1-2 months","6-12 months","More","3-6 hours before","About the same",""
"Professor","Female","Computer Science",494,"West","Three months","Fully funded","No","Standard","Home","RS1","40-50",40,"Every 3-4 hours","Reply Once/Twice","Yes","NP2","NSF","50-75%","1-2 months","3-6 months","Significantly more","T2","More","Yes","7-9","A","50-75%","2-4 weeks","> 12 months","About the same","1-3 hours before","About the same","I  tell new faculty that there are no half measures when submitting an NSF proposal. You need to be ALL IN, or not even bother. Everything else must be put on hold. It is an extremely competitive environment. "
"Professor","Male","Environmental Studies",500,"East","Three months","75-100%","Yes","Heavy","Home","RS2","40-50",30,"Every 3-4 hours","Reply instantly","Yes","NP1","NSF","20-30%","1-2 months","3-6 months","Significantly more","T1","More","No","","","","","","",NA,NA,""
"Professor","Male","Computer Science",501,"Midwest","Three months","50-75%","Yes","Heavy","Office","RS2","> 50",50,"Every 3-4 hours","Reply Once/Twice","Yes","NP2","NSF","10-20%","> 2 months","> 12 months","More","T1","More","Yes","3-4","A*","30-50%","1-2 months","> 12 months","More","3-6 hours before","More","Proposal deadlines during fall and spring semesters have higher impact. Please moving  deadlines to winter break and/or summer break as permitted by financial calendar."
"Professor","Female","Biology",503,"South","Other","50-75%","No","Standard","Office","RS2","40-50",30,"Every 1-2 hours","Reply instantly","Yes","NP1","NSF","10-20%","> 2 months","3-6 months","More","T2","About the same","Yes","1-2","B","> 90%","> 2 months","> 12 months","About the same","2 or more days before","About the same",""
"Professor","Male","Computer Science",508,"West","Three months","75-100%","No","Heavy","Office","RS1","40-50",40,"Every 1-2 hours","Reply instantly","Yes","NP3","NSF","20-30%","> 2 months","3-6 months","Significantly more","T2","More","Yes","7-9","B","75-90%","1-2 months","3-6 months","About the same","2 or more days before","About the same",""
"Professor","Female","Engineering",509,"West","Three months","Fully funded","Yes","Heavy","Home","RS2","> 50",50,"Every 3-4 hours","Reply instantly","Yes","NP3","DOD","20-30%","1-2 months","1-3 months","Significantly more","T1","More","No","","","","","","",NA,NA,"Stresses with working with collaborators; grants office staff"
"Professor","Male","Scientific Computing",511,"South","Three months","1-25%","No","Standard","Home","RS2","40-50",20,"Every hour","Reply instantly","Yes","NP1","NSF","10-20%","1-2 months","> 12 months","Significantly more","T1","About the same","No","","","","","","",NA,NA,"my NSF section has moved to no deadlines, I am relieved and dismayed by that, it will lead to longer proposal preparation [bad] and no mad dash [good]"
"Professor","Male","Mathematics",512,"East","Three months","1-25%","No","Standard","Office","RS2","> 50",30,"Every 1-2 hours","Reply instantly","Yes","NP1","NSF","75-90%","1-2 months","< 1 month","Significantly more","T2","More","No","","","","","","",NA,NA,""
"Professor","Male","Engineering",513,"West","Three months","75-100%","Yes","Standard","Office","RS2","> 50",50,"Every 3-4 hours","Reply Once/Twice","Yes","NP3","Other","50-75%","2-4 weeks","6-12 months","About the same","T1","About the same","Yes","3-4","C","> 90%","1-2 months","> 12 months","About the same","3-6 hours before","About the same",""
"Professor","Female","Engineering",514,"Midwest","Three months","75-100%","No","Heavy","Home","RS2","> 50",20,"Other","Reply instantly","Yes","NP1","NSF","30-50%","1-2 months","6-12 months","Significantly more","T1","About the same","Yes",">= 10","B","> 90%","2-4 weeks","6-12 months","About the same","1 day before","About the same",""
"Professor","Male","Engineering",515,"South","Three months","75-100%","Yes","Standard","Office","RS1","> 50",40,"Every 3-4 hours","Reply instantly","Yes","NP3","NSF","20-30%","1-2 weeks","1-3 months","Significantly more","T1","Significantly more","No","","","","","","",NA,NA,""
"Professor","Female","Engineering",519,"West","Three months","75-100%","Yes","Heavy","Home","RS1","> 50",30,"Every 1-2 hours","Reply instantly","Yes","NP1","NSF","30-50%","2-4 weeks","> 12 months","Significantly more","T2","Significantly more","No","","","","","","",NA,NA,""
"Professor","Male","Physics",520,"South","Other","75-100%","Yes","Heavy","Home","RS1","> 50",10,"Every 3-4 hours","Reply instantly","Yes","NP1","NSF","> 90%","> 2 months","> 12 months","Significantly more","T2","Significantly more","No","","","","","","",NA,NA,"Frankly, the problem and source of the tension is the low acceptance rate of new proposals and the tradition of flat funding of renewal proposals without inflationary increases (which then get eroded by inflation).  This is compounded by the increase in unfunded mandates and deliverables (Broader Impacts, Broadening Participation, FAIR data management plans, Diversity and Inclusion plans, postdoctoral mentoring plans, etc.) that must be included into proposals but often are not provided additional funds to support them."
"Professor","Male","Computer Science",521,"West","Three months","1-25%","Yes","Heavy","Home","RS2","40-50",40,"Every hour","Reply Once/Twice","Yes","NP1","NSF","20-30%","> 2 months","1-3 months","Significantly more","T2","Significantly less","Yes","3-4","A","30-50%","1-2 months","1-3 months","Significantly more","3-6 hours before","More","We've created this weird system where you invest a bunch of energy, are probably going to fail, and then end up getting more headache once you get the grant. Not sure its worth it."
"Associate Professor","Male","Biology",522,"South","Three months","Not funded","No","Standard","Office","RS2","> 50",20,"Every 1-2 hours","Reply instantly","Yes","NP1","NIH","30-50%","1-2 months","> 12 months","Significantly more","T2","More","Yes","1-2","A","> 90%","1-2 months","> 12 months","Significantly more","3-6 hours before","About the same","I put the blame on myself. I should start a grant months in advance."
"Associate Professor","Male","Psychology",523,"East","Three months","25-50%","No","Standard","Home","RS2","40-50",30,"Every 1-2 hours","Reply instantly","Yes","NP1","NIH","75-90%","> 2 months","3-6 months","Significantly more","T2","More","No","","","","","","",NA,NA,"A lot of this varies especially depending on co-investigators.  Some meet deadlines and some do not.  I prefer those that meet the deadlines."
"Associate Professor","Male","Chemistry",524,"Midwest","Three months","Not funded","Yes","Standard","Home","RS2","> 50",20,"Every 3-4 hours","Reply Once/Twice","Yes","NP2","NSF","10-20%","> 2 months","> 12 months","Significantly more","T2","More","No","","","","","","",NA,NA,"Proposal deadlines should be abolished across agencies and open submission should be adopted everywhere possible.    The process is amazingly stressful and has resulted in significant strain on my marriage and health.  I have decreased the number of proposals I write in a year as a result of these negative outcomes.  I've also spent years in marriage counseling, in part due to the strain of proposal writing.  You might also ask people if they've considered leaving academic research due to overall unhappiness with the funding of academic research.  I have done so. I will likely leave my position or work to significantly modify my appointment to avoid this odious, inefficient, horrible process."
"Assistant Professor","Female","Computer Science",525,"South","Three months","50-75%","Yes","Heavy","Home","RS1","40-50",30,"Every 3-4 hours","Reply Once/Twice","Yes","NP3","NSF","< 10%","> 2 months","3-6 months","Significantly more","T2","Significantly more","Yes","3-4","A*","< 10%","1-2 months","6-12 months","Significantly more","1-3 hours before","Significantly more","herding the cats akka collaborators causes the most stress"
"Professor","Male","Mathematics",526,"South","Other","Fully funded","Yes","Standard","Home","RS2","30-40",60,"Every 1-2 hours","Reply instantly","Yes","NP1","Other","> 90%","> 2 months","3-6 months","About the same","T2","About the same","No","","","","","","",NA,NA,""
"Assistant Professor","Male","Physics",527,"Midwest","Three months","50-75%","No","Light","Home","RS2","40-50",60,"Every 3-4 hours","Reply instantly","Yes","NP2","NSF","30-50%","1-2 months","3-6 months","Significantly more","T2","Significantly more","Yes","1-2","B","> 90%","2-4 weeks","6-12 months","More","3-6 hours before","More",""
"Professor","Male","Engineering",528,"Midwest","Three months","50-75%","Yes","Heavy","Office","RS1","> 50",40,"Every 3-4 hours","Reply instantly","Yes","NP3","DOD","20-30%","> 2 months","6-12 months","Significantly more","T1","About the same","Yes","7-9","B","75-90%","1-2 months","6-12 months","About the same","3-6 hours before","About the same",""
"Professor","Female","Physics",529,"West","Two months","25-50%","No","Heavy","Home","RS2","40-50",30,"Every 1-2 hours","Reply Once/Twice","Yes","NP1","DOE","> 90%","1-2 months","> 12 months","About the same","T2","About the same","No","","","","","","",NA,NA,"Since the proposal needs to pass by the office dealing with grant in my University, I need to send it to this office at least two weeks in advance. I have  help from an administrator in my department in preparing and submitting a proposal. This helps a lot!"
"Associate Professor","Male","Computer Science",531,"South","Other","1-25%","No","Heavy","Home","RS2","> 50",30,"Every 3-4 hours","Reply Once/Twice","Yes","NP2","NSF","10-20%","> 2 months","6-12 months","About the same","T1","About the same","Yes","5-6","C","75-90%","1-2 months","> 12 months","About the same","3-6 hours before","About the same",""
"Professor","Male","Computer Science",532,"West","Three months","50-75%","No","Standard","Home","RS1","40-50",50,"Every 1-2 hours","Reply instantly","Yes","NP3","NSF","20-30%","1-2 months","3-6 months","Significantly more","T2","Significantly more","Yes","5-6","B","50-75%","2-4 weeks","3-6 months","More","2 or more days before","About the same",""
"Associate Professor","Male","Psychology",533,"South","Three months","Not funded","Yes","Standard","Home","RS2","> 50",50,"Every hour","Reply instantly","Yes","NP2","NIH","< 10%","> 2 months","> 12 months","More","T1","More","No","","","","","","",NA,NA,""
"Associate Professor","Male","Biology",535,"South","Two months","50-75%","No","Light","Home","RS1","40-50",40,"Every 1-2 hours","Reply instantly","Yes","NP2","NIH","< 10%","1-2 months","1-3 months","More","T1","More","No","","","","","","",NA,NA,""
"Professor","Male","Physics",536,"South","Other","50-75%","Yes","Heavy","Home","RS1","40-50",40,"Every 3-4 hours","Reply Once/Twice","Yes","NP3","NSF","< 10%","> 2 months","6-12 months","Significantly more","T2","Significantly more","Yes","1-2","B","75-90%","2-4 weeks","< 1 month","About the same","1 day before","About the same","colleagues are insufficiently trained in the science of team science methodologies"
"Professor","Male","Biology",537,"South","Other","Not funded","No","Standard","Office","RS1","> 50",30,"Every 1-2 hours","Reply instantly","Yes","NP1","Other","30-50%","1-2 months","> 12 months","More","T2","More","Yes","1-2","B","75-90%","1-2 months","> 12 months","More","2 or more days before","About the same",""
"Assistant Professor","Female","Geosciences",539,"West","Three months","75-100%","No","Standard","Home","RS2","30-40",10,"Every 1-2 hours","Reply instantly","Yes","NP2","NSF","75-90%","1-2 months","1-3 months","Significantly more","T1","More","Yes","3-4","A","> 90%","1-2 months","> 12 months","Significantly more","3-6 hours before","More","I prefer a deadline. Even though the week before is busy it helps reduce project creep. "
"Assistant Professor","Female","Mathematics",541,"Midwest","Three months","1-25%","No","Standard","Home","RS1","> 50",30,"Every 3-4 hours","Reply instantly","Yes","NP1","NSF","75-90%","2-4 weeks","3-6 months","Significantly more","T1","Significantly more","No","","","","","","",NA,NA,""
"Professor","Female","Mathematics",543,"South","Three months","Fully funded","Yes","Heavy","Home","RS1","> 50",60,"Every 3-4 hours","Reply instantly","Yes","NP3","NSF","10-20%","> 2 months","3-6 months","Significantly more","T1","More","Yes",">= 10","A*","10-20%","> 2 months","> 12 months","Significantly more","Minutes before","Significantly more",""
"Professor","Male","Biology",546,"South","Three months","Fully funded","No","Standard","Office","RS1","> 50",40,"Every 1-2 hours","Reply Once/Twice","Yes","NP1","NIH","50-75%","2-4 weeks","< 1 month","Significantly more","T2","More","No","","","","","","",NA,NA,"I like the excitement of writing grant proposals because they are so forward looking. Papers are so retro. I don't allow myself too much time (in days) to write a grant proposal because I think it is important to maintain excitement about what I am proposing. If I leave too much time then I. believe that I second guess myself. I don't always get funded the first time around, but a generally get funded eventually."
"Assistant Professor","Male","Computer Science",547,"West","Three months","1-25%","Yes","Heavy","Office","RS2","40-50",30,"Every 1-2 hours","Reply instantly","Yes","NP1","NSF","30-50%","1-2 months","3-6 months","More","T1","More","Yes","3-4","A","50-75%","1-2 months","6-12 months","Significantly more","Minutes before","More","This survey seems primarily aimed at lab scientists. Theoretical work is not well-covered, so I put the nearest most relevant answer for most questions.    While I agree deadlines in general have lots of negative consequences, the flip side of deadlines is that I find deadlines very motivating, otherwise it might never get done. This is particularly true for myself as someone with ADHD."
"Associate Professor","Female","Computer Science",548,"East","Other","75-100%","No","Heavy","Office","RS1","> 50",20,"Every 1-2 hours","Reply Once/Twice","Yes","NP3","NSF","20-30%","> 2 months","6-12 months","Significantly more","T1","More","Yes","7-9","A","30-50%","1-2 months","6-12 months","Significantly more","Minutes before","Significantly more","I think there are many other stressful items to complete as part of my job, and without proposal deadlines, it would be difficult to prioritize completing proposals."
"Assistant Professor","Male","Computer Science",549,"Midwest","Three months","50-75%","No","Light","Office","RS2","40-50",30,"Every hour","Reply instantly","Yes","NP2","NSF","50-75%","1-2 months","> 12 months","Significantly more","T2","Significantly more","Yes","5-6","A*","50-75%","> 2 months","6-12 months","About the same","2 or more days before","More",""
"Associate Professor","Female","Oceanography",553,"South","Three months","Fully funded","No","Standard","Home","RS2","40-50",50,"Every 1-2 hours","Reply instantly","Yes","NP2","Other","< 10%","1-2 months","3-6 months","Significantly more","T1","More","No","","","","","","",NA,NA,"My university has an internal deadline 3 days before the proposal is due, so usually by the day of the proposal there is very little left, if you asked about the days leading up to the internal deadline, my answer might be different    Also it is important to note the time writing proposals takes away from writing papers and other aspects of research.  I cut back significantly on the number of proposals I submit and now get in many more papers submitted per year than I was able to when I was submitting more proposals."
"Associate Professor","Male","Computer Science",554,"East","Three months","50-75%","No","Standard","Office","RS1","> 50",40,"Every 1-2 hours","Reply instantly","Yes","NP2","NSF","30-50%","> 2 months","6-12 months","Significantly more","T1","More","Yes",">= 10","A","75-90%","> 2 months","6-12 months","Significantly more","Minutes before","Significantly more","Deadlines are also setting a clear window in my calendar to work on proposals and help plan forward for them.     Perhaps more frequent rolling deadlines for large programs, e.g., every 3 months, is the best setup. It reduces the stress of a single deadline but also sets a timeline and allows scheduling of effort both for the submitters and the funding agencies. "
"Associate Professor","Male","Biology",555,"Midwest","Three months","1-25%","No","Light","Office","RS1","> 50",40,"Every 1-2 hours","Reply instantly","Yes","NP2","NSF","< 10%","1-2 months","6-12 months","Significantly more","T1","More","No","","","","","","",NA,NA,"Doing away with deadlines altogether as has been done in some NSF programs, seems like a good plan in practice but for me I found that I don't submit at all - the deadlines help me to bring the proposal up higher on the ""to-do"" list and make it happen."
"Associate Professor","Female","Physics",557,"East","Three months","75-100%","No","Light","Home","RS1","> 50",40,"Every 1-2 hours","Reply instantly","Yes","NP3","NASA","10-20%","2-4 weeks","1-3 months","Significantly more","T2","About the same","No","","","","","","",NA,NA,"(1) Proposals are useful for ""big-picture"" planning of the program. (2) The non-science overhead is enormous and has been increasing exponentially (e.g., NSF requires more documents in ever stricter formats every year), so removing some of these requirements would be good. The proposals can also be 30-50% shorter without significant loss of meaning. (3) Would be great if agencies agreed that there should be periods during the year with no deadlines (right after August, December). "
"Associate Professor","Female","Chemistry",558,"South","Three months","25-50%","No","Standard","Home","RS2","> 50",30,"Every 3-4 hours","Reply instantly","Yes","NP1","NSF","10-20%","> 2 months","6-12 months","Significantly more","T1","More","No","","","","","","",NA,NA,""
"Assistant Professor","Male","Computer Science",559,"West","Three months","25-50%","No","Light","Office","RS2","> 50",50,"Every 1-2 hours","Reply instantly","Yes","NP2","NSF","10-20%","1-2 months","6-12 months","Significantly more","T1","More","Yes","7-9","A*","30-50%","1-2 months","6-12 months","Significantly more","1-3 hours before","More",""
"Assistant Professor","Male","Computer Science",560,"South","Three months","25-50%","No","Light","Office","RS2","40-50",50,"Every 3-4 hours","Reply Once/Twice","Yes","NP3","NSF","< 10%","> 2 months","3-6 months","More","T1","About the same","Yes","7-9","A","30-50%","1-2 months","3-6 months","More","3-6 hours before","About the same",""
"Professor","Male","Engineering",562,"East","Three months","Fully funded","Yes","Heavy","Office","RS2","> 50",30,"Every 3-4 hours","Reply instantly","Yes","NP3","NSF","< 10%","2-4 weeks","> 12 months","More","T1","Significantly more","No","","","","","","",NA,NA,""
"Assistant Professor","Male","Physics",564,"South","Three months","75-100%","No","Light","Office","RS2","40-50",60,"Every 3-4 hours","Reply instantly","Yes","NP3","NSF","10-20%","1-2 months","6-12 months","Significantly more","T2","More","No","","","","","","",NA,NA,"To me, the major stressful part of the proposal submission is related to the program administrative requirements rather than the technical part itself. Making sure everything is formatted the proper way, making sure all the documents are uploaded at the right place, with proper heading,... is, to me the most stressful because having a proposal returned without review on a technicality like this would be terrible.  The other stressful part is that people depend on you and your ability to secure funding to pay them (grad students, postdocs,...).  Every proposal is submitted with these people in mind, having proposal rejected despite having good reviews puts these people in jeopardy. As a person who cares about students, I find this also stressful."
"Professor","Male","Engineering",565,"Midwest","Three months","75-100%","No","Standard","Office","RS1","> 50",50,"Every 3-4 hours","Reply instantly","Yes","NP1","DOE","10-20%","> 2 months","> 12 months","Significantly more","T1","More","Yes","1-2","A","75-90%","> 2 months","> 12 months","More","2 or more days before","About the same",""
"Associate Professor","Female","Engineering",568,"East","Three months","75-100%","Yes","Heavy","Home","RS1","> 50",20,"Every 1-2 hours","Reply Once/Twice","Yes","NP3","NSF","< 10%","1-2 months","6-12 months","Significantly more","T1","More","Yes","7-9","A","50-75%","1-2 months","6-12 months","More","1-3 hours before","More","Proposal deadline is a motivation to drive me to work towards the finish line. However, it also has very negative impact to my life. I think the negative impact from high pressure and frequent deadlines caused my procrastination symptoms. "
"Professor","Male","Engineering",569,"East","Three months","Fully funded","No","Light","Home","RS2","> 50",50,"Every 1-2 hours","Reply Once/Twice","Yes","NP2","NIH","30-50%","> 2 months","> 12 months","More","T2","More","No","","","","","","",NA,NA,""
"Associate Professor","Female","Biology",570,"Midwest","Three months","1-25%","Yes","Heavy","Home","RS2","> 50",40,"Every 3-4 hours","Reply instantly","Yes","NP2","NSF","< 10%","1-2 months","6-12 months","Significantly more","T1","Significantly more","No","","","","","","",NA,NA,"If NSF or another funding agency has an RFA with a deadline, they MUST tell us about the RFA and deadline more than 6 months ahead of time, not two or three months before the deadline, AND they must have the webinars that explain the RFA and what NSF wants more than a month before the deadline.  I must turn in final budgets, including any subcontracts, to my university 1 month before a deadline, so that means that I can't respond to RFAs with short times to deadlines - and webinars held 1 month before a deadline are almost useless.  When an RFA is announced in the middle of a semester, my time for that semester might already be too committed to respond to an RFA - I need to know BEFORE the semester starts so that I MIGHT be able to postpone some other things like undergraduate research projects or grad student rotations or committee work to the next semester.  I cannot create more hours in the day just because NSF decides that they are going to offer a novel type of interdisciplinary $1 million dollar grant but I have only ten weeks to put together a multi-university team, get the subcontracts together, AND write the proposal."
"Professor","Male","Computer Science",571,"East","Three months","Fully funded","No","Standard","Office","RS2","> 50",70,"Every 1-2 hours","Reply Once/Twice","Yes","NP3","NSF","10-20%","1-2 months","6-12 months","Significantly more","T1","More","Yes","5-6","A*","20-30%","2-4 weeks","1-3 months","More","1-3 hours before","More",""
"Associate Professor","Female","Engineering / Learning Sciences",572,"West","Three months","75-100%","No","Light","Home","RS2","> 50",60,"Other","Reply Once/Twice","Yes","NP2","NSF","30-50%","1-2 months","< 1 month","About the same","T2","About the same","Yes",">= 10","B","> 90%","1-2 months","1-3 months","More","1-3 hours before","About the same","Most universities, including mine, have internal deadlines that are actually more stressful than the sponsor deadline. These grants offices are often badly staffed with people who only understand compliance. They undermine the quality of our proposals when we are forced to have them turned in early, especially for some of these grants that have a short RFP->deadline time."
"Assistant Professor","Female","Biology",576,"West","Three months","75-100%","No","Standard","Home","RS1","> 50",30,"Every 1-2 hours","Reply Once/Twice","Yes","NP2","NIH","30-50%","> 2 months","> 12 months","More","T2","About the same","No","","","","","","",NA,NA,"I find proposal deadlines useful, so long as they occur frequently enough (i.e., multiple times a year, like the NIH standard deadlines). In this scenario the deadlines provide a push to complete the task, and if the deadline is missed, there is another opportunity arriving soon."
"Assistant Professor","Female","Chemistry",577,"Midwest","Three months","Not funded","No","Heavy","Home","RS2","> 50",50,"Every 1-2 hours","Reply Once/Twice","Yes","NP2","NIH","< 10%","1-2 months","3-6 months","Significantly more","T2","More","No","","","","","","",NA,NA,"rolling deadlines"
"Professor","Female","Physics",579,"Midwest","Three months","25-50%","No","Light","Home","RS2","> 50",30,"Other","Reply instantly","Yes","NP2","NSF","10-20%","1-2 months","3-6 months","Significantly more","T2","More","Yes","1-2","A","> 90%","2-4 weeks","3-6 months","More","1 day before","More","It seems that the nsf due programs I submit to have due dates at the worst times, like end of semester or final exam week."
"Professor","Male","Psychology",580,"South","Three months","75-100%","No","Standard","Home","RS2","> 50",50,"Every 1-2 hours","Reply instantly","Yes","NP2","NSF","30-50%","> 2 months","6-12 months","More","T1","Less","No","","","","","","",NA,NA,"The deadline issue is artificial. It serves as a powerful incentive to get the proposal done. It's part of the package deal of having a sweet life as an academic."
"Associate Professor","Male","Computer Science",581,"West","Three months","75-100%","No","Light","Home","RS1","< 30",50,"Every hour","Reply instantly","Yes","NP3","NSF","50-75%","2-4 weeks","> 12 months","Significantly more","T2","More","Yes","7-9","A","50-75%","1-2 months","6-12 months","More","3-6 hours before","About the same",""
"Professor","Male","Computer Science",582,"Midwest","Three months","1-25%","No","Light","Home","RS2","> 50",20,"Every 1-2 hours","Reply Once/Twice","Yes","NP2","NSF","< 10%","1-2 months","1-3 months","More","T2","More","Yes","3-4","A","30-50%","1-2 months","1-3 months","About the same","1-3 hours before","About the same",""
"Assistant Professor","Female","Biology",583,"West","Three months","1-25%","Yes","Heavy","Other","RS2","40-50",30,"Every hour","Reply Once/Twice","Yes","NP2","Other","75-90%","> 2 months","> 12 months","Significantly more","T1","More","No","","","","","","",NA,NA,""
"Professor","Male","Computer Science",585,"East","Three months","Fully funded","No","Standard","Office","RS1","40-50",10,"Every 1-2 hours","Reply Once/Twice","Yes","NP1","NSF","75-90%","1-2 months","3-6 months","Significantly more","T2","More","Yes","1-2","A","50-75%","1-2 months","6-12 months","Significantly more","1-3 hours before","More","A significant aspect of the stress is checking that all of NSF grant preparation guidelines are met. Describing the proposed research is easy, but then as much time or more goes into re-reading the guidelines and checking that every required aspect has been covered, then rewriting sections of the proposal to make room because some new requirement was missed. In some cases, there are arguments with our SRO about ambiguous elements of the requirements that need clarification from NSF, and last minute changes. It's also getting to the point that the project summary page has so many requirements that it is hard to include much about the actual proposal. Even the titles now sometimes require so many qualifiers that there aren't many words left for content. "
"Assistant Professor","Male","Engineering",588,"Midwest","Three months","75-100%","No","Heavy","Home","RS2","> 50",40,"Every 3-4 hours","Reply Once/Twice","Yes","NP2","DOD","20-30%","2-4 weeks","6-12 months","More","T2","Significantly more","No","","","","","","",NA,NA,"have several different windows each year, rather than just one deadline per year"
"Professor","Female","Engineering",589,"Midwest","Three months","Fully funded","Yes","Heavy","Home","RS2","> 50",30,"Every 3-4 hours","Reply instantly","Yes","NP2","DOE","20-30%","1-2 months","3-6 months","Significantly more","T2","Significantly more","Yes","3-4","A*","20-30%","> 2 months","> 12 months","Significantly more","1-3 hours before","About the same","Our institution requires proposals are submitted for internal review five days in advance of the sponsor deadline.  That causes huge stress before the deadline but reduces stress on the due date."
"Assistant Professor","Male","Computer Science",590,"Midwest","Three months","Fully funded","Yes","Standard","Home","RS2","> 50",50,"Every 1-2 hours","Reply Once/Twice","Yes","NP3","NSF","10-20%","1-2 months","< 1 month","About the same","T1","More","Yes",">= 10","A*","20-30%","> 2 months","> 12 months","Significantly more","Minutes before","Significantly more",""
