"Classification","Department","Gender","Race","Computer_type","Primary_Computer","Computer_purchased","Computer_screen","Warranty","Webcam","Computer_rating","Computer_model","ownership","operating_system","Os_version","Processor","RAM","Hard_disk","Data_HD","Backup","Backup_method","Ext_brand","Clou_brand","Backup_frequency","Automatic_backups","Loss_of_data","UH_M_OneDrive","Secondary_device","Synced_Primary","Smartphone","Smartphone_brand","Smartphone_model","smartwatch","Smartwatch_brand","Smartwatch_model","Course_format","Confident_installing","Internet_speed","Internet_reliability","Computer_labs","Customare_vcare"
"Senior","Biology and Biochemistry","Male","Asian American","Standard User","Laptop","2015","13''","No","Built-in","Good","Apple Macbook Pro","Own","Mac OS","Catalina","Intel Core i9","16 GB","128 GB","100 GB - 500 GB","Yes","Cloud","","Apple iCloud","Other","No","No","No","No","","Yes","iPhone","iPhone X Series","Yes","Apple Watch","Apple Watch 4","Fully Online","Neutral","< 100 Mbps","Average","Very unlikely","Maybe"
"Freshman","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2015","15''","No","Built-in","Good","Apple Macbook Pro","Own","Mac OS","Catalina","Intel Core i7","16 GB","256 GB","< 100 GB","No","","","","","","No","No","No","","Yes","iPhone","iPhone 11","Yes","Apple Watch","Apple Watch 5","Face-to-Face","Neutral","< 100 Mbps","Fair","Neither likely nor unlikely","Maybe"
"Sophomore","Computer Science","Male","Hispanic","Standard User","Laptop","2019","13''","1 year","Built-in","Good","Microsoft Surface","Own","Windows OS","Windows 10 Home","Intel Core i9","8 GB","128 GB","< 100 GB","No","","","","","","No","No","No","","Yes","iPhone","iPhone 8","No","","","Hybrid/Blended","Neutral","100 - 300 Mbps","Average","Somewhat likely","Yes"
"PhD","Biology and Biochemistry","Male","International","Standard User","Desktop","2014","15''","No","Built-in","Fair","Other","Own","Windows OS","Windows 10 Home","Intel Core i5","8 GB","1 TB","100 GB - 500 GB","Yes","Both","WD","Microsoft OneDrive","Daily","Yes","No","Yes","Yes","No","Yes","Other","Other","No","","","Fully Online","Moderately confident","< 100 Mbps","Good","Very likely","Yes"
"PhD","Biology and Biochemistry","Female","White","Standard User","Laptop","2019","15''","No","Built-in","Good","Dell Inspiron 5000","Own","Windows OS","Windows 10 Home","Intel Core i7","8 GB","1 TB","100 GB - 500 GB","Yes","Both","Seagate","Google Drive","Daily","Yes","Yes","Yes","Yes","Yes","Yes","iPhone","iPhone 8","No","","","Hybrid/Blended","Very confident","> 500 Mbps","Good","Very unlikely","Maybe"
"Freshman","Computer Science","Male","White","Standard User","Laptop","2016","13''","No","Built-in","Average","Apple Macbook Air","Own","Mac OS","High Sierra","Intel Core i5","8 GB","128 GB","< 100 GB","Yes","Cloud","","Google Drive","Monthly","Yes","No","Yes","Yes","No","Yes","Samsung","Samsung Galaxy","No","","","Face-to-Face","Very confident","100 - 300 Mbps","Good","Somewhat likely","No"
"Freshman","Biology and Biochemistry","Female","Other","Standard User","Laptop","2016","13''","No","Built-in","Excellent","Apple Macbook Air","Own","Mac OS","Mojave","Intel Core i5","8 GB","128 GB","100 GB - 500 GB","No","","","","","","No","No","No","","Yes","iPhone","iPhone 11","No","","","Hybrid/Blended","Very confident","100 - 300 Mbps","Good","Very likely","Yes"
"PhD","Biology and Biochemistry","Male","Prefer Not to Say","Standard User","Laptop","2018","15''","3 year","Built-in","Good","Other","Own","Windows OS","Windows 10 Home","AMD Ryzen","8 GB","128 GB","100 GB - 500 GB","Yes","External backup disk","Seagate","","Weekly","No","Yes","Yes","No","","Yes","Samsung","Other","No","","","Face-to-Face","Very confident","< 100 Mbps","Poor","Very likely","Yes"
"Junior","Biology and Biochemistry","Female","International","Standard User","Laptop","2018","14''","No","Built-in","Good","Microsoft Surface","Own","Windows OS","Windows 10 Home","Intel Core i5","8 GB","256 GB","100 GB - 500 GB","No","","","","","","No","No","No","","Yes","iPhone","iPhone 11","No","","","Hybrid/Blended","Somewhat confident","100 - 300 Mbps","Average","Somewhat likely","Yes"
"Freshman","Biology and Biochemistry","Male","White","Standard User","Laptop","2016","15''","No","Built-in","Average","Other","Own","Windows OS","Windows 10 Home","Intel Core i5","16 GB","256 GB","100 GB - 500 GB","No","","","","","","No","No","No","","Yes","Samsung","Samsung Galaxy","No","","","Face-to-Face","Moderately confident","< 100 Mbps","Average","Neither likely nor unlikely","Maybe"
"Senior","Computer Science","Female","Hispanic","Standard User","Laptop","2017","13''","3 year","Built-in","Good","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","32 GB","1 TB","100 GB - 500 GB","Yes","Cloud","","Google Drive","Weekly","Yes","No","Yes","No","","Yes","Samsung","Samsung Galaxy","No","","","Hybrid/Blended","Very confident","300 - 500 Mbps","Good","Neither likely nor unlikely","Yes"
"Sophomore","Mathematics","Female","Hispanic","Standard User","Laptop","2016","13''","No","Built-in","Good","Apple Macbook Air","Own","Mac OS","Catalina","Intel Core i5","8 GB","128 GB","100 GB - 500 GB","Yes","Cloud","","Apple iCloud","Other","Yes","No","Yes","No","","Yes","iPhone","iPhone 11","No","","","Face-to-Face","Somewhat confident","100 - 300 Mbps","Good","Very unlikely","Maybe"
"PhD","Physics","Female","International","Standard User","Laptop","2016","13''","No","Built-in","Average","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","8 GB","512 GB","100 GB - 500 GB","Yes","Both","Other","Google Drive","Other","No","No","No","No","","Yes","iPhone","iPhone 8","No","","","Fully Online","Very confident","300 - 500 Mbps","Good","Very likely","Yes"
"Junior","Computer Science","Female","Asian American","Standard User","Laptop","2015","13''","No","Built-in","Good","Apple Macbook Pro","Own","Mac OS","Catalina","Intel Core i5","4 GB","256 GB","100 GB - 500 GB","Yes","Cloud","","Apple iCloud","Monthly","No","No","No","No","","Yes","iPhone","iPhone X Series","Yes","Apple Watch","Other","Fully Online","Very confident","300 - 500 Mbps","Good","Somewhat likely","Yes"
"Sophomore","Computer Science","Female","Hispanic","Standard User","Laptop","2015","13''","No","Built-in","Excellent","Apple Macbook Air","Own","Mac OS","Catalina","Intel Core i7","8 GB","128 GB","< 100 GB","Yes","Cloud","","Apple iCloud","Daily","Yes","Yes","No","No","","Yes","iPhone","Other","No","","","Fully Online","Very confident","> 500 Mbps","Excellent","Very likely","Yes"
"Freshman","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2019","13''","1 year","Built-in","Good","Apple Macbook Air","Own","Mac OS","Other","Intel Core i5","8 GB","256 GB","< 100 GB","Yes","Cloud","","Google Drive","Weekly","No","No","No","No","","Yes","iPhone","iPhone 11","Yes","Apple Watch","Apple Watch 5","Hybrid/Blended","Neutral","100 - 300 Mbps","Average","Neither likely nor unlikely","Yes"
"Senior","Mathematics","Male","Hispanic","Standard User","Tablet","2020","Other","1 year","Built-in","Good","Microsoft Surface","Own","Windows OS","Windows 10 Home","Other","4 GB","128 GB","< 100 GB","Yes","Cloud","","Microsoft OneDrive","Daily","Yes","No","Yes","No","","Yes","iPhone","Other","No","","","Hybrid/Blended","Moderately confident","< 100 Mbps","Good","Neither likely nor unlikely","Maybe"
"Sophomore","Chemistry","Male","White","Standard User","Desktop","2018","Other","No","No","Excellent","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","16 GB","1 TB","500 GB - 1 TB","No","","","","","","No","No","Yes","No","Yes","iPhone","Other","No","","","Hybrid/Blended","Very confident","100 - 300 Mbps","Good","Somewhat unlikely","Maybe"
"Sophomore","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2019","13''","No","Built-in","Excellent","Apple Macbook Air","Own","Mac OS","Mojave","Intel Core i7","8 GB","256 GB","100 GB - 500 GB","No","","","","","","No","Yes","Yes","No","Yes","iPhone","Other","Yes","Apple Watch","Apple Watch 4","Hybrid/Blended","Neutral","100 - 300 Mbps","Good","Somewhat unlikely","Maybe"
"P-B non-degree","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2017","13''","1 year","Built-in","Excellent","Apple Macbook Air","Own","Mac OS","Catalina","Intel Core i7","16 GB","128 GB","< 100 GB","No","","","","","","No","Yes","Yes","No","Yes","iPhone","iPhone 8","No","","","Fully Online","Somewhat confident","300 - 500 Mbps","Excellent","Very unlikely","Yes"
"Junior","Biology and Biochemistry","Male","African American","Standard User","Laptop","2019","15''","1 year","Built-in","Average","Other","Own","Windows OS","Windows 10 Home","Intel Core i5","8 GB","256 GB","100 GB - 500 GB","No","","","","","","No","Yes","No","","No","","","No","","","Face-to-Face","Moderately confident","< 100 Mbps","Average","Somewhat likely","Yes"
"PhD","Computer Science","Female","International","Standard User","Laptop","2019","15''","1 year","Built-in","Fair","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","8 GB","512 GB","< 100 GB","Yes","External backup disk","Other","","Weekly","No","Yes","Yes","No","","Yes","iPhone","Other","No","","","Fully Online","Moderately confident","< 100 Mbps","Fair","Very unlikely","Yes"
"Junior","Earth and Atmospheric Sciences","Female","Hispanic","Standard User","Laptop","2015","13''","No","Built-in","Average","Apple Macbook Pro","Own","Mac OS","Catalina","Intel Core i5","8 GB","256 GB","< 100 GB","No","","","","","","Yes","No","No","","Yes","iPhone","Other","No","","","Hybrid/Blended","Somewhat confident","100 - 300 Mbps","Fair","Neither likely nor unlikely","Maybe"
"PhD","Computer Science","Male","Other","Standard User","Desktop","2015","Other","No","External","Excellent","Other","Own","Other","Other","Intel Core i7","32 GB","512 GB","< 100 GB","No","","","","","","No","Yes","Yes","No","Yes","Other","Other","Yes","Fitbit","Other","Fully Online","Very confident","> 500 Mbps","Excellent","Very unlikely","No"
"Junior","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2018","14''","No","Built-in","Average","Other","Own","Windows OS","Windows 10 Home","Intel Core i5","8 GB","128 GB","< 100 GB","Yes","Cloud","","Microsoft OneDrive","Daily","No","Yes","Yes","No","","Yes","iPhone","Other","Yes","Fitbit","Fitbit Versa","Hybrid/Blended","Somewhat confident","< 100 Mbps","Fair","Somewhat likely","Maybe"
"PhD","Biology and Biochemistry","Female","African American","Standard User","Laptop","2019","14''","3 year","Built-in","Excellent","Other","Own","Windows OS","Windows 10 Home","Other","4 GB","128 GB","< 100 GB","Yes","External backup disk","WD","","Monthly","No","No","Yes","Yes","Yes","Yes","Samsung","Samsung Galaxy","Yes","Fitbit","Fitbit Versa","Hybrid/Blended","Somewhat confident","300 - 500 Mbps","Good","Somewhat likely","Yes"
"MS","Earth and Atmospheric Sciences","Male","White","Standard User","Laptop","2016","17''","No","Built-in","Good","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","8 GB","256 GB","100 GB - 500 GB","Yes","External backup disk","WD","","Monthly","No","No","Yes","Yes","No","Yes","iPhone","Other","No","","","Hybrid/Blended","Very confident","100 - 300 Mbps","Excellent","Very likely","Yes"
"Junior","Biology and Biochemistry","Female","Other","Standard User","Laptop","2017","13''","No","Built-in","Average","Apple Macbook Air","Own","Mac OS","Windows 10 Home","Intel Core i9","32 GB","256 GB","100 GB - 500 GB","Yes","Both","Other","Apple iCloud","Monthly","Yes","No","Yes","No","","Yes","iPhone","iPhone X Series","Yes","Apple Watch","Apple Watch 4","Fully Online","Very confident","300 - 500 Mbps","Good","Neither likely nor unlikely","Maybe"
"Junior","Mathematics","Female","Hispanic","Standard User","Laptop","2018","13''","No","Built-in","Excellent","Microsoft Surface","Own","Windows OS","Windows 10 Pro","Intel Core i5","8 GB","256 GB","100 GB - 500 GB","Yes","External backup disk","Seagate","","Other","Yes","No","Yes","Yes","No","Yes","iPhone","iPhone X Series","No","","","Fully Online","Very confident","< 100 Mbps","Average","Very likely","Yes"
"Junior","Biology and Biochemistry","Male","African American","Standard User","Laptop","2019","15''","No","Built-in","Excellent","Dell Inspiron 7000","Own","Windows OS","Windows 10 Home","Intel Core i7","16 GB","512 GB","100 GB - 500 GB","No","","","","","","Yes","Yes","Yes","No","Yes","Google","Other","No","","","Hybrid/Blended","Moderately confident","> 500 Mbps","Average","Somewhat unlikely","No"
"Senior","Mathematics","Male","White","Standard User","Desktop","2019","Other","1 year","No","Excellent","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","> 32 GB","> 1 TB","100 GB - 500 GB","No","","","","","","No","Yes","Yes","No","Yes","Other","Other","No","","","Face-to-Face","Moderately confident","< 100 Mbps","Good","Somewhat unlikely","Yes"
"Freshman","Earth and Atmospheric Sciences","Female","Hispanic","Standard User","Laptop","2018","13''","No","Built-in","Good","Apple Macbook Pro","Own","Chrome OS","High Sierra","Intel Core i9","32 GB","128 GB","< 100 GB","Yes","Cloud","","Apple iCloud","Other","No","Yes","No","No","","Yes","iPhone","iPhone 8","No","","","Hybrid/Blended","Somewhat confident","100 - 300 Mbps","Average","Somewhat unlikely","Yes"
"Junior","Mathematics","Male","White","Standard User","Laptop","2018","14''","No","Built-in","Good","Dell Inspiron 5000","Own","Windows OS","Windows 10 Home","Intel Core i5","8 GB","256 GB","< 100 GB","Yes","Both","","Microsoft OneDrive","Monthly","Yes","No","Yes","Yes","No","Yes","Other","Other","No","","","Hybrid/Blended","Very confident","300 - 500 Mbps","Excellent","Somewhat unlikely","Yes"
"Junior","Biology and Biochemistry","Male","Hispanic","Standard User","Tablet","2019","13''","No","Built-in","Excellent","Other","Own","Other","Other","Other","> 32 GB","128 GB","100 GB - 500 GB","Yes","Cloud","","Apple iCloud","Daily","Yes","No","No","No","","Yes","iPhone","iPhone 11","No","","","Hybrid/Blended","Moderately confident","100 - 300 Mbps","Average","Very unlikely","Yes"
"MS","Computer Science","Male","White","Standard User","Laptop","2020","15''","1 year","Built-in","Excellent","Apple Macbook Pro","Own","Mac OS","Catalina","Intel Core i9","16 GB","1 TB","100 GB - 500 GB","Yes","Cloud","","Apple iCloud","Daily","Yes","No","No","Yes","No","Yes","iPhone","iPhone X Series","Yes","Apple Watch","Apple Watch 4","Fully Online","Very confident","100 - 300 Mbps","Excellent","Somewhat unlikely","No"
"Senior","Mathematics","Female","Asian American","Standard User","Laptop","2017","13''","No","Built-in","Good","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","8 GB","128 GB","500 GB - 1 TB","No","","","","","","No","No","Yes","No","Yes","iPhone","iPhone X Series","No","","","Fully Online","Moderately confident","100 - 300 Mbps","Average","Somewhat likely","Yes"
"Senior","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2017","13''","1 year","Built-in","Good","Apple Macbook Pro","Own","Mac OS","Catalina","Intel Core i5","8 GB","128 GB","< 100 GB","Yes","Cloud","","Apple iCloud","Weekly","Yes","No","Yes","Yes","No","Yes","iPhone","Other","No","","","Fully Online","Not confident","< 100 Mbps","Average","Neither likely nor unlikely","Maybe"
"Senior","Biology and Biochemistry","Male","Hispanic","Standard User","Desktop","2013","17''","No","No","Good","Dell Inspiron 7000","Own","Windows OS","Windows 10 Home","Intel Core i7","8 GB","512 GB","< 100 GB","No","","","","","","No","Yes","No","","Yes","Samsung","Samsung Galaxy","No","","","Face-to-Face","Moderately confident","300 - 500 Mbps","Fair","Neither likely nor unlikely","Maybe"
"Sophomore","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2019","15''","No","Built-in","Excellent","Other","Own","Windows OS","Windows 10 Pro","Intel Core i7","32 GB","1 TB","500 GB - 1 TB","No","","","","","","No","Yes","Yes","No","Yes","iPhone","Other","Yes","Apple Watch","Apple Watch 5","Fully Online","Very confident","300 - 500 Mbps","Excellent","Somewhat likely","Yes"
"Senior","Earth and Atmospheric Sciences","Female","African American","Standard User","Laptop","2016","14''","No","Built-in","Good","Apple Macbook Pro","Own","Mac OS","Mojave","Other","8 GB","1 TB","100 GB - 500 GB","Yes","Both","Samsung","Apple iCloud","Daily","Yes","No","No","No","","Yes","iPhone","iPhone X Series","No","","","Fully Online","Very confident","100 - 300 Mbps","Excellent","Neither likely nor unlikely","Yes"
"MS","Mathematics","Male","International","Standard User","Desktop","2017","15''","No","Built-in","Average","Dell Inspiron 5000","Own","Windows OS","Windows 10 Pro","Intel Core i7","8 GB","512 GB","100 GB - 500 GB","No","","","","","","No","No","Yes","Yes","Yes","Samsung","Samsung Galaxy","No","","","Fully Online","Moderately confident","100 - 300 Mbps","Excellent","Very likely","Yes"
"Senior","Biology and Biochemistry","Female","African American","Standard User","Laptop","2018","13''","No","Built-in","Good","Apple Macbook Pro","Own","Mac OS","Catalina","Intel Core i5","8 GB","128 GB","< 100 GB","Yes","Cloud","","Apple iCloud","Daily","Yes","No","No","Yes","Yes","Yes","iPhone","iPhone 11","Yes","Apple Watch","Apple Watch 5","Face-to-Face","Somewhat confident","100 - 300 Mbps","Good","Somewhat unlikely","Yes"
"PhD","Physics","Male","International","Standard User","Laptop","2017","15''","No","Built-in","Poor","Other","Own","Other","Other","Other","4 GB","1 TB","100 GB - 500 GB","Yes","External backup disk","Seagate","","Monthly","No","No","No","No","","Yes","Google","Google Pixel 3a","No","","","Fully Online","Moderately confident","< 100 Mbps","Average","Somewhat unlikely","Maybe"
"Freshman","Biology and Biochemistry","Male","Asian American","Standard User","Laptop","2018","13''","No","Built-in","Good","Other","Own","Windows OS","Windows 10 Home","Intel Core i9","32 GB","256 GB","100 GB - 500 GB","No","","","","","","No","No","Yes","No","Yes","iPhone","Other","Yes","Apple Watch","Apple Watch 5","Face-to-Face","Moderately confident","300 - 500 Mbps","Excellent","Neither likely nor unlikely","Yes"
"Junior","Biology and Biochemistry","Female","White","Standard User","Laptop","2018","15''","No","Built-in","Good","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","8 GB","> 1 TB","> 1 TB","No","","","","","","No","Yes","No","","Yes","Samsung","Samsung Galaxy","Yes","Fitbit","Fitbit Versa","Hybrid/Blended","Moderately confident","> 500 Mbps","Good","Neither likely nor unlikely","Yes"
"Freshman","Biology and Biochemistry","Male","Asian American","Standard User","Laptop","2017","15''","1 year","Built-in","Average","Other","Own","Windows OS","Windows 10 Home","Other","4 GB","512 GB","100 GB - 500 GB","No","","","","","","No","Yes","No","","Yes","iPhone","Other","No","","","Hybrid/Blended","Moderately confident","< 100 Mbps","Average","Somewhat likely","Yes"
"Freshman","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2017","15''","No","No","Average","Other","Own","Windows OS","Windows 10 Home","Intel Core i9","32 GB","256 GB","100 GB - 500 GB","No","","","","","","No","No","Yes","No","Yes","iPhone","iPhone X Series","No","","","Fully Online","Moderately confident","100 - 300 Mbps","Poor","Very unlikely","Maybe"
"MS","Earth and Atmospheric Sciences","Male","White","Standard User","Laptop","2019","15''","1 year","Built-in","Excellent","Other","Own","Windows OS","Windows 10 Pro","AMD Ryzen","16 GB","256 GB","< 100 GB","Yes","External backup disk","WD","","Monthly","No","No","Yes","Yes","No","Yes","iPhone","iPhone X Series","Yes","Apple Watch","Apple Watch 3","Fully Online","Somewhat confident","100 - 300 Mbps","Average","Neither likely nor unlikely","Maybe"
"Senior","Computer Science","Male","Hispanic","Standard User","Desktop","2012","Other","No","External","Good","Other","Own","Windows OS","Windows 10 Home","AMD Ryzen","8 GB","256 GB","100 GB - 500 GB","No","","","","","","No","Yes","Yes","No","Yes","Samsung","Samsung Galaxy","No","","","Fully Online","Very confident","< 100 Mbps","Excellent","Very unlikely","Yes"
"Freshman","Biology and Biochemistry","Female","White","Standard User","Desktop","2020","Other","3 year","Built-in","Good","Other","Own","Mac OS","Catalina","Intel Core i5","8 GB","1 TB","< 100 GB","No","","","","","","No","Yes","No","","No","","","No","","","Face-to-Face","Not confident","< 100 Mbps","Poor","Very unlikely","No"
"PhD","Physics","Female","White","Standard User","Tablet","2017","13''","No","Built-in","Good","Microsoft Surface","Own","Windows OS","Windows 10 Home","Intel Core i7","16 GB","128 GB","< 100 GB","No","","","","","","No","Yes","No","","Yes","Samsung","Samsung Galaxy","No","","","Hybrid/Blended","Not confident","< 100 Mbps","Poor","Somewhat likely","Maybe"
"Sophomore","Physics","Male","Hispanic","Standard User","Laptop","2019","15''","1 year","Built-in","Excellent","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","16 GB","1 TB","100 GB - 500 GB","Yes","Both","WD","Microsoft OneDrive","Monthly","No","No","Yes","Yes","No","Yes","Samsung","Samsung Galaxy","No","","","Face-to-Face","Moderately confident","100 - 300 Mbps","Fair","Somewhat likely","Yes"
"Junior","Biology and Biochemistry","Male","Hispanic","Standard User","Laptop","2018","13''","Other","Built-in","Good","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","8 GB","256 GB","< 100 GB","Yes","Cloud","","Google Drive","Weekly","Yes","Yes","Yes","No","","Yes","iPhone","iPhone 11","Yes","Apple Watch","Apple Watch 3","Fully Online","Moderately confident","< 100 Mbps","Average","Neither likely nor unlikely","Yes"
"Senior","Biology and Biochemistry","Female","Hispanic","Standard User","Laptop","2016","13''","1 year","Built-in","Excellent","Microsoft Surface","Own","Windows OS","Windows 10 Home","Intel Core i5","> 32 GB","128 GB","< 100 GB","No","","","","","","No","Yes","No","","Yes","iPhone","Other","No","","","Fully Online","Very confident","300 - 500 Mbps","Good","Very likely","Yes"
"Junior","Biology and Biochemistry","Female","Hispanic","Standard User","Laptop","2016","13''","No","Built-in","Poor","Microsoft Surface","Own","Windows OS","Windows 10 Home","Intel Core i5","16 GB","1 TB","100 GB - 500 GB","No","","","","","","No","Yes","No","","Yes","iPhone","iPhone X Series","Yes","Apple Watch","Apple Watch 3","Hybrid/Blended","Neutral","100 - 300 Mbps","Average","Somewhat likely","Maybe"
"Senior","Computer Science","Female","Asian American","Standard User","Laptop","2020","15''","1 year","Built-in","Excellent","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","16 GB","1 TB","100 GB - 500 GB","No","","","","","","No","Yes","No","","Yes","iPhone","iPhone X Series","Yes","Apple Watch","Apple Watch 3","Hybrid/Blended","Moderately confident","300 - 500 Mbps","Excellent","Neither likely nor unlikely","Yes"
"P-B second-degree","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2020","13''","No","Built-in","Excellent","Apple Macbook Pro","Own","Mac OS","Catalina","Intel Core i5","8 GB","128 GB","100 GB - 500 GB","No","","","","","","No","No","No","","Yes","iPhone","iPhone 11","Yes","Apple Watch","Apple Watch 4","Fully Online","Neutral","100 - 300 Mbps","Average","Somewhat likely","Maybe"
"Junior","Chemistry","Female","Asian American","Standard User","Laptop","2019","15''","1 year","Built-in","Excellent","Dell Inspiron 7000","Own","Windows OS","Windows 10 Home","Intel Core i7","16 GB","512 GB","100 GB - 500 GB","No","","","","","","No","No","Yes","No","Yes","iPhone","iPhone 11","No","","","Fully Online","Somewhat confident","< 100 Mbps","Excellent","Somewhat unlikely","Maybe"
"Senior","Computer Science","Male","African American","Standard User","Laptop","2018","15''","No","Built-in","Good","Other","Own","Windows OS","Windows 10 Home","Intel Core i5","8 GB","256 GB","100 GB - 500 GB","No","","","","","","No","No","Yes","No","Yes","Samsung","Samsung Galaxy","No","","","Fully Online","Somewhat confident","100 - 300 Mbps","Good","Somewhat unlikely","Yes"
"Senior","Chemistry","Female","Hispanic","Standard User","Laptop","2015","14''","3 year","Built-in","Excellent","Apple Macbook Pro","Own","Mac OS","Catalina","Intel Core i9","> 32 GB","256 GB","100 GB - 500 GB","Yes","Cloud","","Apple iCloud","Daily","Yes","No","Yes","No","","Yes","iPhone","iPhone X Series","Yes","Apple Watch","Apple Watch 3","Fully Online","Very confident","> 500 Mbps","Excellent","Neither likely nor unlikely","Yes"
"Senior","Chemistry","Male","Multiracial","Standard User","Laptop","2020","14''","No","No","Good","Other","Own","Windows OS","Windows 10 Home","Intel Core i5","8 GB","512 GB","100 GB - 500 GB","Yes","Cloud","","Microsoft OneDrive","Weekly","Yes","No","Yes","Yes","No","Yes","Other","Other","No","","","Face-to-Face","Very confident","> 500 Mbps","Good","Very likely","Yes"
"Sophomore","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2019","15''","No","Built-in","Average","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","16 GB","256 GB","< 100 GB","Yes","Cloud","","Google Drive","Monthly","Yes","No","Yes","No","","Yes","iPhone","iPhone 11","No","","","Face-to-Face","Neutral","100 - 300 Mbps","Average","Neither likely nor unlikely","Yes"
"Freshman","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2016","15''","No","Built-in","Poor","Other","Own","Windows OS","Windows 10 Home","Other","8 GB","512 GB","100 GB - 500 GB","No","","","","","","No","No","Yes","No","Yes","Samsung","Samsung Galaxy","No","","","Hybrid/Blended","Not confident","< 100 Mbps","Average","Somewhat unlikely","Maybe"
"Senior","Chemistry","Female","Asian American","Standard User","Laptop","2015","Other","1 year","Built-in","Excellent","Other","Own","Mac OS","Mojave","Intel Core i5","16 GB","512 GB","500 GB - 1 TB","Yes","Cloud","","Apple iCloud","Monthly","No","No","No","Yes","Yes","Yes","iPhone","iPhone 8","No","","","Fully Online","Very confident","> 500 Mbps","Excellent","Neither likely nor unlikely","No"
"Senior","Biology and Biochemistry","Male","Hispanic","Standard User","Laptop","2016","13''","No","Built-in","Fair","Apple Macbook Air","Own","Mac OS","Catalina","Intel Core i5","8 GB","256 GB","100 GB - 500 GB","No","","","","","","No","No","No","","Yes","iPhone","iPhone X Series","No","","","Hybrid/Blended","Moderately confident","< 100 Mbps","Fair","Neither likely nor unlikely","Maybe"
"MS","Earth and Atmospheric Sciences","Female","White","Standard User","Laptop","2014","14''","No","Built-in","Average","Apple Macbook Pro","Own","Mac OS","Catalina","Intel Core i5","4 GB","128 GB","< 100 GB","No","","","","","","No","No","No","","Yes","iPhone","iPhone 11","No","","","Hybrid/Blended","Moderately confident","300 - 500 Mbps","Excellent","Very unlikely","Maybe"
"Freshman","Earth and Atmospheric Sciences","Male","Hispanic","Standard User","Laptop","2019","Other","3 year","Built-in","Average","Other","Own","Chrome OS","Other","Intel Core i9","4 GB","128 GB","< 100 GB","No","","","","","","No","No","No","","Yes","iPhone","Other","No","","","Hybrid/Blended","Moderately confident","100 - 300 Mbps","Average","Somewhat likely","Yes"
"MS","Mathematics","Male","White","Standard User","Desktop","2016","Other","No","Built-in","Excellent","Other","Own","Mac OS","Catalina","Intel Core i7","> 32 GB","1 TB","100 GB - 500 GB","Yes","Cloud","","Apple iCloud","Daily","Yes","No","Yes","Yes","Yes","Yes","iPhone","iPhone X Series","No","","","Fully Online","Very confident","> 500 Mbps","Excellent","Very unlikely","No"
"Sophomore","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2018","13''","1 year","Built-in","Excellent","Apple Macbook Pro","Own","Mac OS","Catalina","Intel Core i5","8 GB","256 GB","< 100 GB","No","","","","","","No","No","No","","Yes","iPhone","iPhone X Series","Yes","Apple Watch","Apple Watch 3","Hybrid/Blended","Very confident","> 500 Mbps","Excellent","Somewhat unlikely","Maybe"
"Junior","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2018","13''","No","Built-in","Good","Apple Macbook Pro","Own","Mac OS","Catalina","Intel Core i7","4 GB","128 GB","100 GB - 500 GB","No","","","","","","Yes","Yes","Yes","Yes","Yes","iPhone","Other","No","","","Fully Online","Moderately confident","300 - 500 Mbps","Excellent","Very unlikely","Maybe"
"PhD","Computer Science","Male","Hispanic","Standard User","Desktop","2020","Other","Other","Built-in","Excellent","Other","Own","Windows OS","Windows 10 Pro","AMD Ryzen","> 32 GB","> 1 TB","> 1 TB","Yes","Cloud","","Google Drive","Daily","Yes","No","No","Yes","Yes","Yes","Google","Google Pixel 4","Yes","Samsung","Samsung Galaxy Watch","Fully Online","Very confident","> 500 Mbps","Excellent","Very unlikely","Maybe"
